Accuracy;0.87;;Accuracy;0.83;;Accuracy;0.79;;Accuracy;0.83;;Accuracy;0.88;;Accuracy;0.88
Precision Usa;0.99;;Precision Usa;0.97;;Precision Usa;0.99;;Precision Usa;0.98;;Precision Usa;0.98;;Precision Usa;0.98
Precision Japan;0.39;;Precision Japan;0.22;;Precision Japan;0;;Precision Japan;0.24;;Precision Japan;0.47;;Precision Japan;0.44
Precision West-germany;0.51;;Precision West-germany;0.3;;Precision West-germany;0;;Precision West-germany;0.32;;Precision West-germany;0.57;;Precision West-germany;0.59
Precision Canada;0.34;;Precision Canada;0.35;;Precision Canada;0.03;;Precision Canada;0.35;;Precision Canada;0.38;;Precision Canada;0.35
Precision Uk;0.5;;Precision Uk;0.24;;Precision Uk;0.14;;Precision Uk;0.17;;Precision Uk;0.53;;Precision Uk;0.55
Precision France;0.48;;Precision France;0.1;;Precision France;0;;Precision France;0.02;;Precision France;0.51;;Precision France;0.5
Precision;0.87;;Precision;0.82;;Precision;0.8;;Precision;0.83;;Precision;0.88;;Precision;0.88
Recall Usa;0.88;;Recall Usa;0.84;;Recall Usa;0.8;;Recall Usa;0.84;;Recall Usa;0.88;;Recall Usa;0.89
Recall Japan;0.89;;Recall Japan;0.6;;Recall Japan;0.14;;Recall Japan;0.71;;Recall Japan;0.89;;Recall Japan;0.84
Recall West-germany;0.86;;Recall West-germany;0.77;;Recall West-germany;0;;Recall West-germany;0.77;;Recall West-germany;0.86;;Recall West-germany;0.83
Recall Canada;0.87;;Recall Canada;0.86;;Recall Canada;0.81;;Recall Canada;0.86;;Recall Canada;0.84;;Recall Canada;0.87
Recall Uk;0.77;;Recall Uk;0.47;;Recall Uk;0.48;;Recall Uk;0.53;;Recall Uk;0.74;;Recall Uk;0.73
Recall France;0.87;;Recall France;0.38;;Recall France;0;;Recall France;0.23;;Recall France;0.94;;Recall France;0.94
Recall;0.87;;Recall;0.8;;Recall;0.72;;Recall;0.8;;Recall;0.87;;Recall;0.88
F1 Usa;0.93;;F1 Usa;0.9;;F1 Usa;0.88;;F1 Usa;0.9;;F1 Usa;0.93;;F1 Usa;0.93
F1 Japan;0.54;;F1 Japan;0.32;;F1 Japan;0;;F1 Japan;0.36;;F1 Japan;0.62;;F1 Japan;0.58
F1 West-germany;0.64;;F1 West-germany;0.43;;F1 West-germany;0;;F1 West-germany;0.45;;F1 West-germany;0.69;;F1 West-germany;0.69
F1 Canada;0.49;;F1 Canada;0.5;;F1 Canada;0.06;;F1 Canada;0.5;;F1 Canada;0.52;;F1 Canada;0.5
F1 Uk;0.61;;F1 Uk;0.32;;F1 Uk;0.22;;F1 Uk;0.26;;F1 Uk;0.62;;F1 Uk;0.63
F1 France;0.62;;F1 France;0.16;;F1 France;0;;F1 France;0.04;;F1 France;0.66;;F1 France;0.65
F1;0.86;;F1;0.79;;F1;0.72;;F1;0.79;;F1;0.86;;F1;0.86
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;1;2;3;4;5;6;;
;;;;;;;;Accuracy;0.87;0.83;0.79;0.83;0.88;0.88;;
;;;;;;;;Precision;0.87;0.82;0.8;0.83;0.88;0.88;;
;;;;;;;;Recall;0.87;0.8;0.72;0.8;0.87;0.88;;
;;;;;;;;F1;0.86;0.79;0.72;0.79;0.86;0.86;;
