Accuracy;0.88;;Accuracy;0.84;;Accuracy;0.88;;
Precision Usa;0.98;;Precision Usa;0.99;;Precision Usa;0.98;;
Precision Japan;0.44;;Precision Japan;0.22;;Precision Japan;0.44;;
Precision West-germany;0.59;;Precision West-germany;0.23;;Precision West-germany;0.59;;
Precision Canada;0.35;;Precision Canada;0.22;;Precision Canada;0.35;;
Precision Uk;0.55;;Precision Uk;0.39;;Precision Uk;0.55;;
Precision France;0.5;;Precision France;0.39;;Precision France;0.5;;
Precision;0.88;;Precision;0.84;;Precision;0.88;;
Recall Usa;0.89;;Recall Usa;0.85;;Recall Usa;0.89;;
Recall Japan;0.84;;Recall Japan;0.88;;Recall Japan;0.84;;
Recall West-germany;0.83;;Recall West-germany;0.76;;Recall West-germany;0.83;;
Recall Canada;0.87;;Recall Canada;0.83;;Recall Canada;0.87;;
Recall Uk;0.73;;Recall Uk;0.76;;Recall Uk;0.73;;
Recall France;0.94;;Recall France;0.94;;Recall France;0.92;;
Recall;0.88;;Recall;0.84;;Recall;0.88;;
F1 Usa;0.93;;F1 Usa;0.91;;F1 Usa;0.93;;
F1 Japan;0.58;;F1 Japan;0.35;;F1 Japan;0.58;;
F1 West-germany;0.69;;F1 West-germany;0.35;;F1 West-germany;0.69;;
F1 Canada;0.5;;F1 Canada;0.35;;F1 Canada;0.5;;
F1 Uk;0.63;;F1 Uk;0.52;;F1 Uk;0.63;;
F1 France;0.65;;F1 France;0.55;;F1 France;0.65;;
F1;0.86;;F1;0.81;;F1;0.86;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;Euklidesowa;Czebyszewa;Miejska
;;;;;;Accuracy;0.88;0.84;0.88
;;;;;;Precision;0.88;0.84;0.88
;;;;;;Recall;0.88;0.84;0.88
;;;;;;F1;0.86;0.81;0.86
